drug_id,drug_name,approval_status,drug_type
DB03961,"2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate",experimental,small molecule
DB03967,Dodecyl sulfate,experimental,small molecule
DB03973,"3-[2,6,8-Trioxo-9-[(2R,3R,4R)-2,3,4,5-tetrahydroxypentyl]-3H-purin-7-yl]propyl dihydrogen phosphate",experimental,small molecule
DB03986,6-methyl-formycin A,experimental,small molecule
DB03989,D-Allopyranose,experimental,small molecule
DB03993,Isocaproic acid,experimental,small molecule
DB03995,Betadex,experimental,small molecule
DB03997,L-histidinol phosphate,experimental,small molecule
DB04007,Bromo-WR99210,experimental,small molecule
DB04015,Methionine Phosphinate,experimental,small molecule
DB04024,Serine-3'-aminoadenosine,experimental,small molecule
DB04030,"1,3,4,9-Tetrahydro-2-(Hydroxybenzoyl)-9-[(4-Hydroxyphenyl)Methyl]-6-Methoxy-2h-Pyrido[3,4-B]Indole",experimental,small molecule
DB04031,Serine vanadate,experimental,small molecule
DB04034,Ribulose-5-Phosphate,experimental,small molecule
DB04035,Ceftazidime BATSI,experimental,small molecule
DB04047,6-hydroxymethylpterin diphosphate,experimental,small molecule
DB04062,beta-D-fucose,experimental,small molecule
DB04063,alpha-Methylleucine,experimental,small molecule
DB04073,N-{3-[4-(3-amino-propyl)-piperazin-1-yl]-propyl}-3-nitro-5-(galactopyranosyl)-beta-benzamide,experimental,small molecule
DB04074,alpha-Ketoisovalerate,experimental,small molecule
DB04075,Acetylglutamate,experimental,small molecule
DB04083,N(6)-(pyridoxal phosphate)-L-lysine,experimental,small molecule
DB04087,Open Form of 2'-Deoxy-Ribofuranose-5'-Phosphate,experimental,small molecule
DB04095,9-Deazahypoxanthine,experimental,small molecule
DB04097,Uridine-5'-diphosphate-4-deoxy-4-fluoro-alpha-D-galactose,experimental,small molecule
DB04099,Deamido-Nad+,experimental,small molecule
DB04104,3-Methyladenine,experimental,small molecule
DB04116,Allolactose,experimental,small molecule
DB04127,beta-D-arabinofuranose 5-phosphate,experimental,small molecule
DB04135,"(4S)-5-Fluoro-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone",experimental,small molecule
DB04137,Guanosine-5'-Triphosphate,experimental,small molecule
DB04138,"5-[Bis(2-bromoethyl)amino]-N-(2,3-dioxopropyl)-2,4-dinitrobenzamide",experimental,small molecule
DB04147,Dodecyldimethylamine N-oxide,experimental,small molecule
DB04155,2-Fluoro-2-Deoxy-Beta-D-Galactopyranosyl-Beta-D-Glucopyranose,experimental,small molecule
DB04156,Aspartate beryllium trifluoride,experimental,small molecule
DB04158,"6-(adenosine tetraphosphate-methyl)-7,8-dihydropterin",experimental,small molecule
DB04160,Pyrophosphoric acid,approved,small molecule
DB04170,4-bromo-3-hydroxy-3-methyl butyl diphosphate,experimental,small molecule
DB04196,Pteroic acid,experimental,small molecule
DB04198,Formycin B,experimental,small molecule
DB04201,Histidyl-Adenosine Monophosphate,experimental,small molecule
DB04210,"3-(alpha-D-galactopyranosyloxy)-N-(3-{4-[3-({2-[(3-{4-[3-({[3-(hexopyranosyloxy)-5-nitrophenyl]carbonyl}amino)propyl]piperazin-1-yl}propyl)amino]-3,4-dioxocyclobut-1-en-1-yl}amino)propyl]piperazin-1-yl}propyl)-5-nitrobenzamide",experimental,biotech
DB04217,L-2-amino-3-butynoic acid,experimental,small molecule
DB04221,Didecyldimethylammonium,approved,small molecule
DB04233,(Hydroxyethyloxy)Tri(Ethyloxy)Octane,experimental,small molecule
DB04242,4-hydroxybenzoic acid,experimental,small molecule
DB04243,TMP,experimental,small molecule
DB04252,N-Carbamoylaspartic acid,experimental,small molecule
DB04253,Tretazicar,investigational,small molecule
DB04264,"(10R)-10-formyl-5,8,10-trideazafolic acid",experimental,small molecule
DB04267,Dipicolinic acid,experimental,small molecule
DB04272,Citric acid,approved,small molecule
DB04279,3-Isopropylmalic Acid,experimental,small molecule
DB04284,L-proline betaine,experimental,small molecule
DB04286,beta-D-Ribopyranose,experimental,small molecule
DB04289,Genz-10850,experimental,small molecule
DB04293,7-(2-Amino-2-Phenyl-Acetylamino)-3-Chloro-8-Oxo-1-Aza-Bicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,experimental,small molecule
DB04294,5-Phosphoribosyl-1-(Beta-Methylene) Pyrophosphate,experimental,small molecule
DB04296,5-Oxo-L-Norleucine,experimental,small molecule
DB04299,Maleic acid,experimental,small molecule
DB04302,"4-Hydroxy-3,5-Dimethyl-5-(2-Methyl-Buta-1,3-Dienyl)-5h-Thiophen-2-One",experimental,small molecule
DB04315,Guanosine-5'-Diphosphate,experimental,small molecule
DB04317,"3,3-Dichloro-2-Phosphonomethyl-Acrylic Acid",experimental,small molecule
DB04325,Phenethylamine,experimental,small molecule
DB04326,Dihydroxyacetone phosphate,investigational,small molecule
DB04328,Shikimate-3-Phosphate,experimental,small molecule
DB04334,6-hydroxydopa quinone,experimental,small molecule
DB04335,Inosine,investigational,small molecule
DB04343,Glyoxylic acid,experimental,small molecule
DB04346,"(2r,4s)-2-Methyl-2,3,3,4-Tetrahydroxytetrahydrofuran",experimental,small molecule
DB04351,Aconitate Ion,experimental,small molecule
DB04360,Benzo[B]Thiophene-2-Boronic Acid,experimental,small molecule
DB04380,Allantoate,experimental,small molecule
DB04382,2-Deoxy-alpha-D-galactopyranose,experimental,small molecule
DB04385,3-Deazacytidine,experimental,small molecule
DB04392,"Bishydroxy[2h-1-Benzopyran-2-One,1,2-Benzopyrone]",experimental,small molecule
DB04393,Soneclosan,experimental,small molecule
DB04395,Phosphoaminophosphonic Acid-Adenylate Ester,experimental,small molecule
DB04398,Lactic acid,approved,small molecule
DB04401,Betaine aldehyde,experimental,small molecule
DB04441,2-Fluoroadenosine,experimental,small molecule
DB04444,Tetrafluoroaluminate Ion,experimental,small molecule
DB04447,"1,4-Dithiothreitol",experimental,small molecule
DB04450,Heptyl 1-Thiohexopyranoside,experimental,small molecule
DB04455,"N,N,N-trimethylglycinium",investigational,small molecule
DB04457,2'-Deoxyguanosine-5'-Monophosphate,experimental,small molecule
DB04460,(C8-S)-Hydantocidin 5'-phosphate,experimental,small molecule
DB04464,N-Formylmethionine,experimental,small molecule
DB04465,Lactose,approved,small molecule
DB04467,N-(5'-phosphopyridoxyl)-L-alanine,experimental,small molecule
DB04496,4-Phospho-D-erythronohydroxamic acid,experimental,small molecule
DB04503,Sp-722,experimental,small molecule
DB04517,Dipyrromethane Cofactor,experimental,small molecule
DB04519,Caprylic acid,investigational,small molecule
DB04522,Dexfosfoserine,experimental,small molecule
DB04524,Malonyl-CoA,experimental,small molecule
DB04530,"S,S-(2-Hydroxyethyl)Thiocysteine",experimental,small molecule
DB04539,Glyphosate,experimental,small molecule
DB04545,Afegostat,investigational,small molecule
DB04551,"beta-D-fructofuranose 1,6-bisphosphate",experimental,small molecule
DB04554,8-Bromoadenosine-5'-Diphosphate,experimental,small molecule
DB04555,Cytidine-5'-Diphosphate,experimental,small molecule
DB04560,"4,7-Dioxosebacic Acid",experimental,small molecule
DB04566,Inosinic Acid,experimental,small molecule
DB04570,Latamoxef,approved,small molecule
DB04586,o-Bromophenol,experimental,small molecule
DB04610,"7,8-dihydro-6-hydroxymethyl-7-methyl-7-[2-phenylethyl]-pterin",experimental,small molecule
DB04631,Atpenin A5,experimental,small molecule
DB04647,BOC-GAMMA-D-GLU-L-LYS(CBZ)-D-BOROALA,experimental,small molecule
DB04651,BIOTINOL-5-AMP,experimental,small molecule
DB04695,Farnesyl thiopyrophosphate,experimental,small molecule
DB04696,"4-CHLORO-3',3''-DIBROMOPHENOL-1,8-NAPHTHALEIN",experimental,small molecule
DB04714,ISOPENTENYL PYROPHOSPHATE,experimental,small molecule
DB04729,Gentamicin C1a,experimental,small molecule
DB04732,N-(4-MORPHOLINE)CARBONYL-B-(1-NAPHTHYL)-L-ALANINE-L-LEUCINE BORONIC ACID,experimental,small molecule
DB04762,N-PYRIDOXYL-D-GLUTAMIC ACID-5'-MONOPHOSPHATE,experimental,small molecule
DB04765,N-PYRIDOXYL-2-METHYL-L-GLUTAMIC ACID-5'-MONOPHOSPHATE,experimental,small molecule
DB04911,Oritavancin,approved,small molecule
DB04918,Ceftobiprole,approved,small molecule
DB04934,Rifalazil,investigational,small molecule
DB05154,Pretomanid,approved,small molecule
DB05245,Silver sulfadiazine,approved,small molecule
DB05540,Alanosine,investigational,small molecule
DB06211,Doripenem,approved,small molecule
DB06358,Iclaprim,investigational,small molecule
DB06590,Ceftaroline fosamil,approved,small molecule
DB06656,TAS-106,investigational,small molecule
DB06696,Arbekacin,investigational,small molecule
DB06729,Sulfaphenazole,approved,small molecule
DB06821,Sulfameter,approved,small molecule
DB06864,"2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID",experimental,small molecule
DB06872,"1-((2-HYDROXYETHOXY)METHYL)-5-(PHENYLTHIO)PYRIMIDINE-2,4(1H,3H)-DIONE",experimental,small molecule
DB06873,"1-((2-HYDROXYETHOXY)METHYL)-5-(3-(BENZYLOXY)BENZYL)PYRIMIDINE-2,4(1H,3H)-DIONE",experimental,small molecule
DB06904,"(5S,6S)-6-[(R)ACETOXYETH-2-YL]-PENEM-3-CARBOXYLATEPROPANE",experimental,small molecule
DB06922,"2-[(1R)-1-carboxy-2-naphthalen-1-ylethyl]-1,3-dioxo-2,3-dihydro-1H-isoindole-5-carboxylic acid",experimental,small molecule
DB06998,"[(5R)-5-(2,3-dibromo-5-ethoxy-4-hydroxybenzyl)-4-oxo-2-thioxo-1,3-thiazolidin-3-yl]acetic acid",experimental,small molecule
DB07052,5'-S-ethyl-5'-thioadenosine,experimental,small molecule
DB07057,(3S)-1-(2-hydroxyphenyl)-5-oxopyrrolidine-3-carboxylic acid,experimental,small molecule
DB07084,"N-(6,7,9,10,17,18,20,21-octahydrodibenzo[b,k][1,4,7,10,13,16]hexaoxacyclooctadecin-2-yl)acetamide",experimental,small molecule
DB07090,(3S)-N-(3-CHLORO-2-METHYLPHENYL)-1-CYCLOHEXYL-5-OXOPYRROLIDINE-3-CARBOXAMIDE,experimental,small molecule
DB07114,4-[(METHYLSULFONYL)AMINO]BENZOIC ACID,experimental,small molecule
DB07123,N-(4-METHYLBENZOYL)-4-BENZYLPIPERIDINE,experimental,small molecule
DB07155,(3S)-1-CYCLOHEXYL-5-OXO-N-PHENYLPYRROLIDINE-3-CARBOXAMIDE,experimental,small molecule
DB07178,5-PENTYL-2-PHENOXYPHENOL,experimental,small molecule
DB07188,"(3S)-1-CYCLOHEXYL-N-(3,5-DICHLOROPHENYL)-5-OXOPYRROLIDINE-3-CARBOXAMIDE",experimental,small molecule
DB07192,(3S)-N-(3-BROMOPHENYL)-1-CYCLOHEXYL-5-OXOPYRROLIDINE-3-CARBOXAMIDE,experimental,small molecule
DB07222,(3S)-N-(5-CHLORO-2-METHYLPHENYL)-1-CYCLOHEXYL-5-OXOPYRROLIDINE-3-CARBOXAMIDE,experimental,small molecule
DB07262,1-{[N-(1-Imino-guanidino-methyl)]sulfanylmethyl}-3-trifluoromethyl-benzene,experimental,small molecule
DB07287,"2-(2,4-DICHLOROPHENOXY)-5-(PYRIDIN-2-YLMETHYL)PHENOL",experimental,small molecule
DB07296,Chloronaphthyl Pulvinone,experimental,small molecule
DB07349,"(1S)-2-{[{[(2S)-2,3-DIHYDROXYPROPYL]OXY}(HYDROXY)PHOSPHORYL]OXY}-1-[(PENTANOYLOXY)METHYL]ETHYL OCTANOATE",experimental,small molecule
DB07398,"2-[(CYCLOPROPYLCARBONYL)AMINO]-4,5,6,7-TETRAHYDRO-1-BENZOTHIOPHENE-3-CARBOXAMIDE",experimental,small molecule
DB07404,BPH-608,experimental,small molecule
DB07409,"(1-HYDROXY-1-PHOSPHONO-2-[1,1';4',1'']TERPHENYL-3-YL-ETHYL)-PHOSPHONIC ACID",experimental,small molecule
DB07410,[2-(3-DIBENZOFURAN-4-YL-PHENYL)-1-HYDROXY-1-PHOSPHONO-ETHYL]-PHOSPHONIC ACID,experimental,small molecule
DB07413,5'-S-[2-(decylamino)ethyl]-5'-thioadenosine,experimental,small molecule
DB07426,"[1-HYDROXY-2-(1,1':3',1''-TERPHENYL-3-YLOXY)ETHANE-1,1-DIYL]BIS(PHOSPHONIC ACID)",experimental,small molecule
DB07432,"[[(3R,4R,5S,6R)-3-(butanoylamino)-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-ylidene]amino] N-phenylcarbamate",experimental,small molecule
DB07437,5-Benzylacyclouridine,experimental,small molecule
DB07439,"1-((2-HYDROXYETHOXY)METHYL)-5-(3-(BENZYLOXY)BENZYL)-6-HYDROXYPYRIMIDINE-2,4(1H,3H)-DIONE",experimental,small molecule
DB07463,"(3R,4S)-1-[(4-amino-5H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]-4-[(butylsulfanyl)methyl]pyrrolidin-3-ol",experimental,small molecule
DB07490,"2-[1-(4-CHLORO-PHENYL)-ETHYL]-4,6-DINITRO-PHENOL",experimental,small molecule
DB07541,Borafenib,experimental,small molecule
DB07611,DECANE-1-THIOL,experimental,small molecule
DB07650,Decyl formate,experimental,small molecule
DB07663,"2-[(1R)-1-CARBOXY-2-(4-HYDROXYPHENYL)ETHYL]-1,3-DIOXOISOINDOLINE-5-CARBOXYLIC ACID",experimental,small molecule
DB07671,"2-[1-METHYLHEXYL]-4,6-DINITROPHENOL",experimental,small molecule
DB07780,Farnesyl diphosphate,experimental,small molecule
DB07803,2-phenyl-1H-imidazole-4-carboxylic acid,experimental,small molecule
DB07823,Isoindapropate,experimental,small molecule
DB07824,"4-ethyl-5-methyl-2-(1H-tetrazol-5-yl)-1,2-dihydro-3H-pyrazol-3-one",experimental,small molecule
DB07825,(3S)-1-(4-acetylphenyl)-5-oxopyrrolidine-3-carboxylic acid,experimental,small molecule
DB07850,"(1R,2S)-2-(5-thioxo-4,5-dihydro-1H-1,2,4-triazol-3-yl)cyclohexanecarboxylic acid",experimental,small molecule
DB07911,"(3E)-2,6-DIOXO-6-PHENYLHEX-3-ENOATE",experimental,small molecule
DB07918,2-heptyl-4-hydroxyquinoline N-oxide,experimental,small molecule
DB07927,3-[(4-Carboxy-2-hydroxyphenyl)sulfamoyl]-2-thiophenecarboxylic acid,experimental,small molecule
DB07928,N-(2-OXOTETRAHYDROFURAN-3-YL)OCTANAMIDE,experimental,small molecule
DB08016,"4-(6-CHLORO-2,4-DIOXO-1,2,3,4-TETRAHYDROPYRIMIDIN-5-YL) BUTYL PHOSPHATE",experimental,small molecule
DB08074,3-(3-Methyl-2-buten-1-yl)-3H-purin-6-amine,experimental,small molecule
DB08075,"4-(2-amino-1,3-thiazol-4-yl)pyrimidin-2-amine",experimental,small molecule
DB08076,"4-[1-(2,6-dichlorobenzyl)-2-methyl-1H-imidazol-4-yl]pyrimidin-2-amine",experimental,small molecule
DB08105,N-[(6-butoxynaphthalen-2-yl)sulfonyl]-L-glutamic acid,experimental,small molecule
DB08106,N-[(6-butoxynaphthalen-2-yl)sulfonyl]-D-glutamic acid,experimental,small molecule
DB08107,N-{[6-(PENTYLOXY)NAPHTHALEN-2-YL]SULFONYL}-D-GLUTAMIC ACID,experimental,small molecule
DB08108,N-({6-[(4-CYANOBENZYL)OXY]NAPHTHALEN-2-YL}SULFONYL)-D-GLUTAMIC ACID,experimental,small molecule
DB08112,N-({6-[(4-CYANO-2-FLUOROBENZYL)OXY]NAPHTHALEN-2-YL}SULFONYL)-D-GLUTAMIC ACID,experimental,small molecule
DB08131,"2-{4-[2-(2-AMINO-4-OXO-4,7-DIHYDRO-3H-PYRROLO[2,3-D]PYRIMIDIN-5-YL)-ETHYL]-BENZOYLAMINO}-3-METHYL-BUTYRIC ACID",experimental,small molecule
DB08144,"6-(2,6-dibromophenyl)pyrido[2,3-d]pyrimidine-2,7-diamine",experimental,small molecule
DB08145,"6-(2,6-DIMETHOXYPHENYL)PYRIDO[2,3-D]PYRIMIDINE-2,7-DIAMINE",experimental,small molecule
DB08146,"7-(2,5-dihydropyrrol-1-yl)-6-phenyl-pyrido[6,5-d]pyrimidin-2-amine",experimental,small molecule
DB08168,Coumarin 120,experimental,small molecule
DB08171,11-MERCAPTOUNDECANOIC ACID,experimental,small molecule
DB08227,"1-(1-HYDROXY-2,2,6,6-TETRAMETHYLPIPERIDIN-4-YL)PYRROLIDINE-2,5-DIONE",experimental,small molecule
DB08231,Myristic acid,experimental,small molecule
DB08265,"2-(TOLUENE-4-SULFONYL)-2H-BENZO[D][1,2,3]DIAZABORININ-1-OL",experimental,small molecule
DB08306,3-[(3-Nitrophenyl)sulfamoyl]-2-thiophenecarboxylic acid,experimental,small molecule
DB08314,"(2-AMINO-1,3-OXAZOL-5-YL)-(3-BROMOPHENYL)METHANONE",experimental,small molecule
DB08315,"2-AMINO-N,N-BIS(PHENYLMETHYL)-1,3-OXAZOLE-5-CARBOXAMIDE",experimental,small molecule
DB08316,"4-amino-7,7-dimethyl-7,8-dihydroquinazolin-5(6H)-one",experimental,small molecule
DB08317,"5-methyl-6-phenylquinazoline-2,4-diamine",experimental,small molecule
DB08318,"6-(2-phenoxyethoxy)-1,3,5-triazine-2,4-diamine",experimental,small molecule
DB08336,"2-Methyl-2-propanyl [(1R)-2-methyl-1-(1,3,4-oxadiazol-2-yl)propyl]carbamate",experimental,small molecule
DB08337,"2-Methyl-2-propanyl [(1S)-2-methyl-1-(1,3,4-oxadiazol-2-yl)propyl]carbamate",experimental,small molecule
DB08359,2-PHENYLAMINO-4-METHYL-5-ACETYL THIAZOLE,experimental,small molecule
DB08364,1-{[(1E)-(3-HYDROXY-2-METHYL-5-{[(TRIHYDROXY-LAMBDA^5^-PHOSPHANYL)OXY]METHYL}PYRIDIN-4-YL)METHYLIDENE]AMINO}UNDECAN-2-ONE,experimental,small molecule
DB08366,"3-({3-[(1S,4aS,6S,7S,9S,9aR)-1,6-dimethyl-2-oxodecahydro-6,9-epoxy-4a,7-methanobenzo[7]annulen-1-yl]propanoyl}amino)-2,4-dihydroxybenzoic acid",experimental,small molecule
DB08375,"(2R)-2-[(1R)-1-[[(2Z)-2-(2-Amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-2-oxoethyl]-5-methylidene-2H-1,3-thiazine-4-carboxylic acid",experimental,small molecule
DB08404,"S-(2-{[N-(2-HYDROXY-4-{[HYDROXY(OXIDO)PHOSPHINO]OXY}-3,3-DIMETHYLBUTANOYL)-BETA-ALANYL]AMINO}ETHYL) HEXANETHIOATE",experimental,small molecule
DB08405,"S-(2-{[N-(2-HYDROXY-4-{[HYDROXY(OXIDO)PHOSPHINO]OXY}-3,3-DIMETHYLBUTANOYL)-BETA-ALANYL]AMINO}ETHYL) HEPTANETHIOATE",experimental,small molecule
DB08407,Platensimycin,experimental,small molecule
DB08432,THYMIDINE-5'-THIOPHOSPHATE,experimental,small molecule
DB08506,N-{(2S)-3-[(1R)-1-aminoethyl](hydroxy)phosphoryl-2-benzylpropanoyl}-L-phenylalanine,experimental,small molecule
DB08542,"3,4-dihydroxy-9,10-secoandrosta-1(10),2,4-triene-9,17-dione",experimental,small molecule
DB08551,3-{(R)-(Dihydroxyboryl)[(2-thienylacetyl)amino]methyl}benzoic acid,experimental,small molecule
DB08552,(1R)-1-(2-thienylacetylamino)-1-phenylmethylboronic acid,experimental,small molecule
DB08558,"2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL",experimental,small molecule
DB08573,3-[(4-CHLOROANILINO)SULFONYL]THIOPHENE-2-CARBOXYLIC ACID,experimental,small molecule
DB08604,Triclosan,approved,small molecule
DB08605,"6-METHYL-2(PROPANE-1-SULFONYL)-2H-THIENO[3,2-D][1,2,3]DIAZABORININ-1-OL",experimental,small molecule
DB08606,"(3R,4S)-1-[(4-AMINO-5H-PYRROLO[3,2-D]PYRIMIDIN-7-YL)METHYL]-4-[(METHYLSULFANYL)METHYL]PYRROLIDIN-3-OL",experimental,small molecule
DB08623,"2-[CARBOXY-(2-THIOPHEN-2-YL-ACETYLAMINO)-METHYL]-5-METHYLENE-5,6-DIHYDRO-2H-[1,3]THIAZINE-4-CARBOXYLIC ACID",experimental,small molecule
DB08627,"(5R)-4-HYDROXY-3,5-DIMETHYL-5-[(1E,3E)-2-METHYLPENTA-1,3-DIENYL]THIOPHEN-2(5H)-ONE",experimental,small molecule
DB08628,"(5R)-5-[(1E)-BUTA-1,3-DIENYL]-4-HYDROXY-3,5-DIMETHYLTHIOPHEN-2(5H)-ONE",experimental,small molecule
DB08648,"8-Hydroxy-2-oxa-bicyclo[3.3.1]non-6-ene-3,5-dicarboxylic acid",experimental,small molecule
DB08684,O-Decyl Hydrogen Thiocarbonate,experimental,small molecule
DB08689,Ubiquinone Q1,experimental,small molecule
DB08690,Ubiquinone Q2,experimental,small molecule
DB08704,"[[(3R,4R,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-(pentanoylamino)oxan-2-ylidene]amino] N-phenylcarbamate",experimental,small molecule
DB08712,11-[(MERCAPTOCARBONYL)OXY]UNDECANOIC ACID,experimental,small molecule
DB08731,"2-[(1R)-2-carboxy-1-(naphthalen-1-ylmethyl)ethyl]-1,3-dioxo-2,3-dihydro-1H-isoindole-5-carboxylic acid",experimental,small molecule
DB08845,Oxogluric acid,investigational,small molecule
DB08903,Bedaquiline,approved,small molecule
DB09050,Ceftolozane,approved,small molecule
DB09062,Cefminox,experimental,small molecule
DB09093,Chlortetracycline,approved,small molecule
DB09319,Carindacillin,approved,small molecule
DB09320,Procaine benzylpenicillin,approved,small molecule
DB09462,Glycerin,approved,small molecule
DB11367,Cefroxadine,withdrawn,small molecule
DB11596,Levoleucovorin,approved,small molecule
DB11753,Rifamycin,approved,small molecule
DB12190,Faropenem,investigational,small molecule
DB12329,Eravacycline,approved,small molecule
DB12455,Omadacycline,approved,small molecule
DB12466,Favipiravir,approved,small molecule
DB12615,Plazomicin,approved,small molecule
DB12667,Protionamide,approved,small molecule
DB12769,Lometrexol,investigational,small molecule
DB13028,Biapenem,investigational,small molecule
DB13092,Meclocycline,investigational,small molecule
DB13179,Troleandomycin,approved,small molecule
DB13470,Cefodizime,experimental,small molecule
DB13503,Tyrothricin,approved,small molecule
DB13667,Cefozopran,experimental,small molecule
DB13682,Cefpirome,approved,small molecule
DB13726,Sulfaguanidine,experimental,small molecule
DB13918,Diclofop-methyl,experimental,small molecule
DB13949,Ferric cation,approved,small molecule
DB14033,Acetyl sulfisoxazole,approved,small molecule
DB14128,Nadide,experimental,small molecule
DB14189,Ethylenediamine,approved,small molecule
DB14511,Acetate,experimental,small molecule
DB14520,Tetraferric tricitrate decahydrate,approved,small molecule
DB00781,Polymyxin B,approved,biotech
DB14879,Cefiderocol,approved,small molecule
DB16335,Sulopenem etzadroxil,approved,small molecule
