disease_name,kegg_drug_id
Legionellosis,D07239
Legionellosis,D07240
Legionellosis,D07241
Legionellosis,D08538
Legionellosis,D08539
Legionellosis,D08540
Legionellosis,D08543
Legionellosis,D12465
Legionellosis,D12466
Legionellosis,D00216
Legionellosis,D11738
Legionellosis,D11739
Legionellosis,D00155
Legionellosis,D11017
Legionellosis,D11679
Legionellosis,D00829
Legionellosis,D07883
Legionellosis,D00877
Legionellosis,D09324
Legionellosis,D09872
Legionellosis,D09873
Legionellosis,D09788
Legionellosis,D04458
Legionellosis,D08044
Legionellosis,D10595
Legionellosis,D12277
Legionellosis,D12991
Legionellosis,D01805
Legionellosis,D11004
Legionellosis,D00304
Legionellosis,D00399
Legionellosis,D00710
Legionellosis,D08667
Legionellosis,D07258
Legionellosis,D04245
Legionellosis,D05396
Legionellosis,D06596
Legionellosis,D10431
Legionellosis,D10432
Legionellosis,D00145
Legionellosis,D06097
Legionellosis,D06236
Legionellosis,D07238
Legionellosis,D08337
Legionellosis,D08563
Legionellosis,D08644
Legionellosis,D11085
Legionellosis,D11981
Legionellosis,D00505
Legionellosis,D00785
Legionellosis,D00826
Legionellosis,D01097
Legionellosis,D01888
Legionellosis,D02559
Legionellosis,D02560
Legionellosis,D02561
Legionellosis,D02562
Legionellosis,D02563
Legionellosis,D02564
Legionellosis,D02579
Legionellosis,D02580
Legionellosis,D02581
Legionellosis,D03239
Legionellosis,D03248
Legionellosis,D03409
Legionellosis,D03731
Legionellosis,D03733
Legionellosis,D04092
Legionellosis,D04681
Legionellosis,D05033
Legionellosis,D05039
Legionellosis,D05040
Legionellosis,D05458
Legionellosis,D05459
Legionellosis,D07337
Legionellosis,D07338
Legionellosis,D08085
Legionellosis,D08349
Legionellosis,D08392
Legionellosis,D08393
Legionellosis,D08453
Legionellosis,D08469
Legionellosis,D08625
Legionellosis,D10158
Legionellosis,D10191
Legionellosis,D10829
Legionellosis,D11224
Legionellosis,D13114
Legionellosis,D00220
Legionellosis,D03086
Legionellosis,D04234
Legionellosis,D06180
Legionellosis,D12197
Legionellosis,D00282
Legionellosis,D00322
Legionellosis,D00350
Legionellosis,D00351
Legionellosis,D00416
Legionellosis,D00578
Legionellosis,D00880
Legionellosis,D00881
Legionellosis,D00882
Legionellosis,D00885
Legionellosis,D00886
Legionellosis,D00888
Legionellosis,D00890
Legionellosis,D01092
Legionellosis,D01429
Legionellosis,D01480
Legionellosis,D01620
Legionellosis,D01664
Legionellosis,D01775
Legionellosis,D01980
Legionellosis,D02169
Legionellosis,D02555
Legionellosis,D02556
Legionellosis,D02557
Legionellosis,D02582
Legionellosis,D02583
Legionellosis,D02584
Legionellosis,D02585
Legionellosis,D02586
Legionellosis,D03023
Legionellosis,D03025
Legionellosis,D03526
Legionellosis,D03883
Legionellosis,D03936
Legionellosis,D03997
Legionellosis,D04624
Legionellosis,D05268
Legionellosis,D05367
Legionellosis,D05800
Legionellosis,D06373
Legionellosis,D06630
Legionellosis,D06883
Legionellosis,D07193
Legionellosis,D07598
Legionellosis,D07676
Legionellosis,D07752
Legionellosis,D07882
Legionellosis,D07884
Legionellosis,D08296
Legionellosis,D08313
Legionellosis,D08510
