pathway_id,kegg_drug_id
map01100,D02563
map01100,D02564
map01100,D02579
map01100,D02580
map01100,D02581
map01100,D03239
map01100,D03248
map01100,D03409
map01100,D03731
map01100,D03733
map01100,D04092
map01100,D04681
map01100,D05033
map01100,D05039
map01100,D05040
map01100,D05458
map01100,D05459
map01100,D07337
map01100,D07338
map01100,D08085
map01100,D08349
map01100,D08392
map01100,D08393
map01100,D08453
map01100,D08469
map01100,D08625
map01100,D10158
map01100,D10191
map01100,D10829
map01100,D11224
map01100,D13114
map01100,D00220
map01100,D03086
map01100,D04234
map01100,D06180
map01100,D12197
map01100,D00282
map01100,D00322
map01100,D00350
map01100,D00351
map01100,D00416
map01100,D00578
map01100,D00880
map01100,D00881
map01100,D00882
map01100,D00885
map01100,D00886
map01100,D00888
map01100,D00890
map01100,D01092
map01100,D01429
map01100,D01480
map01100,D01620
map01100,D01664
map01100,D01775
map01100,D01980
map01100,D02169
map01100,D02555
map01100,D02556
map01100,D02557
map01100,D02582
map01100,D02583
map01100,D02584
map01100,D02585
map01100,D02586
map01100,D03023
map01100,D03025
map01100,D03526
map01100,D03883
map01100,D03936
map01100,D03997
map01100,D04624
map01100,D05268
map01100,D05367
map01100,D05800
map01100,D06373
map01100,D06630
map01100,D06883
map01100,D07193
map01100,D07598
map01100,D07676
map01100,D07752
map01100,D07882
map01100,D07884
map01100,D08296
map01100,D08313
map01100,D08510
map01100,D08535
map01100,D09702
map01100,D10021
map01100,D10643
map01100,D10644
map01100,D10750
map01100,D10762
map01100,D11785
map01100,D12326
map01100,D00346
map01100,D01501
map01100,D02002
map01100,D09773
map01110,D11981
map01110,D00505
map01110,D00785
map01110,D00826
map01110,D01097
map01110,D01888
map01110,D02559
map01110,D02560
map01110,D02561
map01110,D02562
map01110,D02563
map01110,D02564
map01110,D02579
map01110,D02580
map01110,D02581
map01110,D03239
map01110,D03248
map01110,D03409
map01110,D03731
map01110,D03733
map01110,D04092
map01110,D04681
map01110,D05033
map01110,D05039
map01110,D05040
map01110,D05458
map01110,D05459
map01110,D07337
map01110,D07338
map01110,D08085
map01110,D08349
map01110,D08392
map01110,D08393
map01110,D08453
map01110,D08469
map01110,D08625
map01110,D10158
map01110,D10191
map01110,D10829
map01110,D11224
map01110,D13114
map01110,D12197
map01110,D00282
map01110,D00322
map01110,D00350
map01110,D00351
map01110,D00416
map01110,D00578
map01110,D00880
map01110,D00881
