disease,drug,rank,score
aicardi-goutieressyndrome,DB08818,17,0.19781362
aicardi-goutieressyndrome,DB00445,18,0.19367987
aicardi-goutieressyndrome,DB00480,19,0.19060859
aicardi-goutieressyndrome,DB00720,20,0.18893087
crohndisease,DB05187,1,0.65248317
crohndisease,DB01393,2,0.63823295
crohndisease,DB00197,3,0.6191237
crohndisease,DB00208,4,0.61129224
crohndisease,DB01132,5,0.6059987
crohndisease,DB00412,6,0.58763075
crohndisease,DB04348,7,0.5818266
crohndisease,DB13615,8,0.53610235
crohndisease,DB13063,9,0.5300394
crohndisease,DB01064,10,0.5221654
crohndisease,DB00548,11,0.5194472
crohndisease,DB09517,12,0.5177977
crohndisease,DB16650,13,0.51475006
crohndisease,DB00627,14,0.5129777
crohndisease,DB13873,15,0.5123122
crohndisease,DB09130,16,0.51136273
crohndisease,DB01611,17,0.5067234
crohndisease,DB08949,18,0.4992224
crohndisease,DB09064,19,0.4938153
crohndisease,DB03619,20,0.49311516
huntingtondisease,DB00752,1,0.5806949
huntingtondisease,DB09086,2,0.5752125
huntingtondisease,DB01626,3,0.57004726
huntingtondisease,DB13766,4,0.569572
huntingtondisease,DB00780,5,0.5690252
huntingtondisease,DB01037,6,0.5682957
huntingtondisease,DB01247,7,0.5607445
huntingtondisease,DB01299,8,0.55996954
huntingtondisease,DB01168,9,0.5595833
huntingtondisease,DB06654,10,0.55897045
huntingtondisease,DB01171,11,0.5582845
huntingtondisease,DB06808,12,0.49391204
huntingtondisease,DB00714,13,0.4934568
huntingtondisease,DB00433,14,0.48893178
huntingtondisease,DB01184,15,0.4886671
huntingtondisease,DB00420,16,0.48755288
huntingtondisease,DB05271,17,0.48603567
huntingtondisease,DB00182,18,0.48590505
huntingtondisease,DB09097,19,0.4853954
huntingtondisease,DB00268,20,0.48512268
multiplesclerosis,DB08818,1,0.7425695
multiplesclerosis,DB16650,2,0.7171738
multiplesclerosis,DB01083,3,0.6875613
multiplesclerosis,DB06155,4,0.67495596
multiplesclerosis,DB11611,5,0.625279
multiplesclerosis,DB01296,6,0.6246402
multiplesclerosis,DB11994,7,0.620446
multiplesclerosis,DB13873,8,0.61902416
multiplesclerosis,DB05260,9,0.61682403
multiplesclerosis,DB00449,10,0.6162436
multiplesclerosis,DB09064,11,0.6098531
multiplesclerosis,DB00545,12,0.60981494
multiplesclerosis,DB00989,13,0.6082423
multiplesclerosis,DB00941,14,0.6074647
multiplesclerosis,DB00733,15,0.6066685
multiplesclerosis,DB01057,16,0.60614157
multiplesclerosis,DB01010,17,0.6050755
multiplesclerosis,DB01070,18,0.60497934
multiplesclerosis,DB00677,19,0.6039332
multiplesclerosis,DB00746,20,0.60170007
cataract,DB00605,1,0.49809963
cataract,DB01189,2,0.47214723
cataract,DB01236,3,0.4654751
cataract,DB01159,4,0.46483806
cataract,DB01064,5,0.42521736
cataract,DB00753,6,0.39162773
cataract,DB00241,7,0.3881681
cataract,DB01028,8,0.38782626
cataract,DB01558,9,0.38673455
cataract,DB00189,10,0.38618624
cataract,DB01068,11,0.38594714
cataract,DB00818,12,0.38593876
cataract,DB00228,13,0.3832339
cataract,DB01595,14,0.38314903
cataract,DB00897,15,0.3820316
cataract,DB01589,16,0.38189936
cataract,DB01544,17,0.38147467
cataract,DB00628,18,0.38082075
cataract,DB00306,19,0.38066858
cataract,DB00683,20,0.38057995
hemochromatosis,DB00548,1,0.5418939
hemochromatosis,DB09130,2,0.5044592
hemochromatosis,DB09517,3,0.4905223
hemochromatosis,DB01064,4,0.4898399
hemochromatosis,DB00197,5,0.47228009
hemochromatosis,DB05187,6,0.46925414
hemochromatosis,DB01041,7,0.46857235
hemochromatosis,DB01132,8,0.46327043
hemochromatosis,DB13063,9,0.45747286
hemochromatosis,DB01393,10,0.44906187
hemochromatosis,DB08814,11,0.4479015
hemochromatosis,DB00412,12,0.43147552
hemochromatosis,DB08910,13,0.4256781
hemochromatosis,DB11611,14,0.42435008
hemochromatosis,DB09112,15,0.41493466
hemochromatosis,DB00445,16,0.41332513
hemochromatosis,DB03085,17,0.40938982
hemochromatosis,DB08818,18,0.40915918
hemochromatosis,DB11823,19,0.4083186
hemochromatosis,DB01421,20,0.40613344
hypertriglyceridemia,DB08818,1,0.6487285
hypertriglyceridemia,DB16650,2,0.6462412
hypertriglyceridemia,DB13873,3,0.6203614
hypertriglyceridemia,DB09064,4,0.60477257
hypertriglyceridemia,DB01039,5,0.6017464
hypertriglyceridemia,DB00449,6,0.5709227
hypertriglyceridemia,DB00545,7,0.5656449
hypertriglyceridemia,DB00989,8,0.5617913
hypertriglyceridemia,DB00772,9,0.5603853
hypertriglyceridemia,DB01057,10,0.5598701
hypertriglyceridemia,DB00733,11,0.55973476
hypertriglyceridemia,DB00677,12,0.55626816
hypertriglyceridemia,DB01010,13,0.5544677
hypertriglyceridemia,DB00941,14,0.55443645
hypertriglyceridemia,DB00382,15,0.54735476
hypertriglyceridemia,DB04339,16,0.52440345
hypertriglyceridemia,DB05187,17,0.5229488
hypertriglyceridemia,DB00609,18,0.52151966
hypertriglyceridemia,DB01393,19,0.5201793
hypertriglyceridemia,DB00746,20,0.5156655
meningioma,DB06713,1,0.7512963
meningioma,DB09389,2,0.74705154
meningioma,DB00717,3,0.7445191
meningioma,DB00294,4,0.7392001
meningioma,DB00351,5,0.737111
meningioma,DB09124,6,0.7340274
meningioma,DB19378,7,0.73066115
meningioma,DB00834,8,0.73025334
meningioma,DB14583,9,0.7273375
meningioma,DB09123,10,0.725629
meningioma,DB08867,11,0.7251355
meningioma,DB00378,12,0.7245693
meningioma,DB00396,13,0.7245239
meningioma,DB01395,14,0.7233602
