DRD2,CNR1
DRD2,SLC6A3
DRD2,TH
DRD2,DBH
DRD2,SLC18A2
DRD2,NPY
DRD2,MAOA
DRD2,SIGMAR1
DRD2,HTR2A
DRD2,SST
PARP1,AKT1
PARP1,EGFR
PARP1,CCND1
PARP1,ERBB2
PARP1,TNF
PARP1,MCL1
PARP1,ESR1
PARP1,MET
PARP1,CASP3
PARP1,GAPDH
PARP1,NFKB1
PARP1,BCL2
PARP1,TOP2A
PARP1,CDK4
PARP1,PCNA
PARP1,PGR
PARP1,DNMT1
PARP1,RELA
PARP1,JUN
PTGS2,PPARA
PTGS2,TNF
PTGS2,IL1B
PTGS2,ICAM1
PTGS2,BCL2
PTGS2,NFKB1
PTGS2,CASP3
PTGS2,GAPDH
PTGS2,XDH
PTGS2,NOS2
PTGS2,STAT3
PTGS2,JUN
PTGS2,RELA
PTGS2,CXCL8
PTGS2,ALOX5
PTGS2,MMP9
PTGS2,EGFR
PTGS2,AKT1
PTGS2,ALB
PTGS2,PLA2G2A
PTGS2,FGF2
PTGS2,PPARG
PTGS2,ERBB2
PTGS2,TLR4
PTGS2,HMOX1
PTGS2,KRAS
SERPINC1,PROCR
SERPINC1,SERPING1
SERPINC1,PLAT
SERPINC1,CD44
SERPINC1,F2
SERPINC1,PROC
SERPINC1,ALB
ACKR1,CXCL8
ROS1,KRAS
ROS1,PIK3CA
MCL1,AKT1
MCL1,CCND1
MCL1,ERBB2
MCL1,GAPDH
MCL1,CASP3
MCL1,PARP1
MCL1,BCL2
MCL1,STAT3
CNR1,HTR2A
CNR1,DRD2
CNR1,NTRK2
CNR1,CNR2
CNR1,TRPV1
NFKB2,STAT3
NFKB2,RELA
NFKB2,ICAM1
NFKB2,NFKB1
NFKB2,IL1B
NFKB2,TNF
NFKB2,REL
NFKB2,CXCL8
JUN,CCND1
JUN,AKT1
JUN,TNFSF11
JUN,EGFR
JUN,MMP9
JUN,CXCL8
JUN,MAP2K1
JUN,HMOX1
JUN,TLR4
JUN,PTGS2
JUN,ERBB2
JUN,PPARG
JUN,BCL2
JUN,CDK4
JUN,PARP1
JUN,CDK6
JUN,GAPDH
JUN,CASP3
JUN,NFKB1
JUN,PPARA
JUN,CRBN
JUN,ESR2
JUN,ESR1
JUN,IL1B
JUN,TNF
JUN,RELA
JUN,EZH2
JUN,STAT3
JUN,NFE2L2
JUN,TGFB1
MMP9,MET
MMP9,ESR1
MMP9,CD44
MMP9,TNF
MMP9,IL1B
MMP9,NOS3
MMP9,BCL2
MMP9,ICAM1
MMP9,NFKB1
MMP9,GAPDH
MMP9,CASP3
MMP9,TGFB1
MMP9,PLAT
MMP9,STAT3
MMP9,JUN
MMP9,AKT1
MMP9,TNFSF11
MMP9,EGFR
MMP9,CXCL8
MMP9,CCND1
MMP9,ALB
MMP9,LTF
MMP9,PPARG
MMP9,FGF2
MMP9,TLR4
MMP9,HP
MMP9,PTGS2
MMP9,ACE
MPL,JAK1
MPL,TYK2
