PathwayID,PathwayName,NumGenes,GeneSymbols,GeneIndices
hsa04340,Hedgehog signaling pathway - Homo sapiens (human),16,BCL2;CCND1;GAS1;GLI2;GLI3;GPR161;HHIP;KIF3A;LRP2;PRKACA;PRKACB;PTCH1;PTCH2;SHH;SMO;SUFU,106;161;435;451;452;463;505;633;668;897;898;917;918;1012;1057;1085
hsa00230,Purine metabolism - Homo sapiens (human),15,ADCY2;ADCY5;ATIC;GUCY1A1;GUCY2D;IMPDH1;NT5E;PDE4B;PDE4D;PDE6A;PDE6B;PDE6G;PNP;RRM1;XDH,21;22;86;479;480;596;798;831;832;833;834;835;882;974;1235
hsa03460,Fanconi anemia pathway - Homo sapiens (human),15,BRCA2;BRIP1;FANCA;FANCB;FANCC;FANCD2;FANCE;FANCF;FANCG;FANCL;FANCM;HES1;PMS2;RAD51C;SLX4,123;127;379;380;381;382;383;384;385;386;387;500;881;936;1048
hsa05414,Dilated cardiomyopathy - Homo sapiens (human),15,ACTG1;ADCY2;ADCY5;AGT;GNAS;IGF1;LAMA2;NOS1;PRKACA;PRKACB;TGFB1;TGFB2;TGFB3;TNF;TPM4,15;21;22;28;454;562;644;779;897;898;1116;1117;1118;1141;1165
hsa05310,Asthma - Homo sapiens (human),15,CCL11;CD40;CD40LG;HLA-DPB1;HLA-DQA1;HLA-DQB1;HLA-DRA;HLA-DRB1;HLA-DRB5;IL10;IL13;IL4;IL5;RNASE3;TNF,154;175;176;513;514;515;516;517;518;570;574;589;591;956;1141
hsa04142,Lysosome - Homo sapiens (human),15,AP1S3;CD68;CTSL;DMXL1;GBA1;IGF2R;LIPA;NPC1;SLC11A1;SLC11A2;SLC29A1;SORT1;TLR9;VAMP8;VPS35,60;181;284;322;438;566;658;784;1024;1025;1029;1067;1135;1209;1223
hsa04918,Thyroid hormone synthesis - Homo sapiens (human),15,ADCY2;ADCY5;ALB;ATP1B2;CREB3L1;GNAS;GPX1;LRP2;PRKACA;PRKACB;SLC5A5;TG;TPO;TSHB;TSHR,21;22;39;91;260;454;465;668;897;898;1041;1114;1166;1182;1183
hsa04730,Long-term depression - Homo sapiens (human),15,BRAF;GNA13;GNAS;GUCY1A1;HRAS;IGF1;IGF1R;KRAS;MAP2K1;MAP2K2;NOS1;NRAS;PPP2CA;PRKG1;RAF1,122;453;454;479;529;562;563;638;687;688;779;795;891;899;937
hsa04750,Inflammatory mediator regulation of TRP channels - Homo sapiens (human),15,ADCY2;ADCY5;GNAS;HRH1;HTR2A;IGF1;IL1B;NGF;NTRK1;PIK3R1;PRKACA;PRKACB;TRPA1;TRPV1;TRPV4,21;22;454;530;539;562;579;771;799;863;897;898;1176;1178;1179
hsa04137,Mitophagy - animal - Homo sapiens (human),15,ARIH1;BCL2L1;BNIP3;EIF2S1;HIF1A;HRAS;JUN;KRAS;MRAS;NRAS;PINK1;PRKN;RAB7B;RELA;TP53,76;107;121;351;508;529;616;638;723;795;864;900;934;948;1162
hsa05031,Amphetamine addiction - Homo sapiens (human),15,ADCY5;CREB3L1;DDC;DRD1;GNAS;GRIA4;JUN;MAOA;MAOB;PRKACA;PRKACB;SIRT1;SLC18A2;SLC6A3;TH,22;260;307;331;454;468;616;684;685;897;898;1015;1026;1043;1123
hsa00983,Drug metabolism - other enzymes - Homo sapiens (human),14,CYP2E1;CYP3A4;GSTA4;GSTM1;GSTP1;GSTT1;IMPDH1;MPO;NAT1;NAT2;RRM1;UGT1A4;UPB1;XDH,300;302;473;474;475;476;596;722;747;748;974;1196;1199;1235
hsa05204,Chemical carcinogenesis - DNA adducts - Homo sapiens (human),14,CYP1A1;CYP1A2;CYP2E1;CYP3A4;EPHX1;GSTA4;GSTM1;GSTP1;GSTT1;NAT1;NAT2;PTGS2;SULT1A1;UGT1A4,294;295;300;302;358;473;474;475;476;747;748;921;1086;1196
hsa04114,Oocyte meiosis - Homo sapiens (human),14,ADCY2;ADCY5;AURKA;CCNE1;IGF1;IGF1R;INS;MAP2K1;PGR;PLK1;PPP2CA;PRKACA;PRKACB;PTTG1,21;22;94;162;562;563;597;687;856;873;891;897;898;929
hsa04120,Ubiquitin mediated proteolysis - Homo sapiens (human),14,BIRC2;BIRC3;CBL;CBLB;FANCL;FBXW7;HERC2;NEDD4L;PRKN;SKP2;SOCS3;TRAF6;UBE3A;VHL,114;115;149;150;386;394;499;761;900;1020;1064;1170;1195;1219
hsa04972,Pancreatic secretion - Homo sapiens (human),14,ADCY2;ADCY5;ATP1B2;ATP2B1;BST1;CA2;CELA2A;CFTR;CHRM3;GNAS;KCNQ1;PLA2G2A;SLC4A4;SLC9A1,21;22;91;92;128;135;196;206;213;454;626;868;1039;1045
hsa03320,PPAR signaling pathway - Homo sapiens (human),14,ADIPOQ;ANGPTL4;APOA1;APOA5;APOC3;CD36;CPT1B;CYP27A1;LPL;MMP1;PCK1;PLTP;PPARA;PPARG,24;55;63;65;67;173;255;298;666;713;827;879;886;887
hsa01200,Carbon metabolism - Homo sapiens (human),14,CAT;ENO1;ENO2;FBP1;G6PD;GAPDH;IDH1;IDH2;IDH3B;PC;PGLS;PKM;TALDO1;TPI1,147;355;356;392;427;433;546;547;548;824;855;867;1093;1164
hsa05216,Thyroid cancer - Homo sapiens (human),14,BRAF;CCND1;CTNNB1;HRAS;KRAS;MAP2K1;MAP2K2;MYC;NRAS;NTRK1;PPARG;RET;TCF7;TP53,122;161;283;529;638;687;688;740;795;799;887;950;1105;1162
hsa04922,Glucagon signaling pathway - Homo sapiens (human),13,ADCY2;AKT1;CPT1B;CREB3L1;FBP1;GNAS;PCK1;PKM;PPARA;PPARGC1A;PRKACA;PRKACB;SIRT1,21;37;255;260;392;454;827;867;886;888;897;898;1015
hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),13,ALDH3A1;CYP1A1;CYP1A2;CYP2D6;CYP2E1;CYP2S1;CYP3A4;EPHX1;GSTA4;GSTM1;GSTP1;GSTT1;UGT1A4,42;294;295;299;300;301;302;358;473;474;475;476;1196
hsa01230,Biosynthesis of amino acids - Homo sapiens (human),13,ARG1;ARG2;ENO1;ENO2;GAPDH;IDH1;IDH2;IDH3B;MAT2A;PC;PKM;TALDO1;TPI1,71;72;355;356;433;546;547;548;692;824;867;1093;1164
hsa04929,GnRH secretion - Homo sapiens (human),13,AKT1;ESR2;GNRH1;GPER1;HRAS;KRAS;LHB;MAP2K1;MAP2K2;NRAS;PIK3R1;RAF1;SPP1,37;367;456;462;529;638;653;687;688;795;863;937;1075
hsa04814,Motor proteins - Homo sapiens (human),13,ACTA2;ACTG1;DCTN4;DNAH5;DYNC2H1;DYNC2LI1;KIF1B;KIF3A;KIF5B;MYH11;TPM4;TUBA1B;TUBA1C,14;15;305;323;337;340;632;633;634;743;1165;1188;1189
hsa04925,Aldosterone synthesis and secretion - Homo sapiens (human),13,ADCY2;ADCY5;AGT;AGTR1;ATP1B2;ATP2B1;CREB3L1;GNAS;HSD3B2;LDLR;POMC;PRKACA;PRKACB,21;22;28;29;91;92;260;454;533;651;883;897;898
hsa05410,Hypertrophic cardiomyopathy - Homo sapiens (human),13,ACE;ACTG1;AGT;EDN1;IGF1;IL6;LAMA2;NOS1;TGFB1;TGFB2;TGFB3;TNF;TPM4,11;15;28;343;562;592;644;779;1116;1117;1118;1141;1165
hsa04927,Cortisol synthesis and secretion - Homo sapiens (human),12,ADCY2;ADCY5;AGT;AGTR1;CREB3L1;GNAS;HSD3B2;LDLR;PBX1;POMC;PRKACA;PRKACB,21;22;28;29;260;454;533;651;823;883;897;898
hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human),12,ALDH3A1;CYP1A2;CYP2D6;CYP2E1;CYP3A4;GSTA4;GSTM1;GSTP1;GSTT1;MAOA;MAOB;UGT1A4,42;295;299;300;302;473;474;475;476;684;685;1196
hsa04924,Renin secretion - Homo sapiens (human),12,ACE;ADCY5;ADCYAP1R1;AGT;AGTR1;EDN1;EDN3;GNAS;GUCY1A1;PRKACA;PRKACB;REN,11;22;23;28;29;343;344;454;479;897;898;949
hsa04723,Retrograde endocannabinoid signaling - Homo sapiens (human),12,ADCY2;ADCY5;CNR1;FAAH;GABRB3;GNB3;GRIA4;MGLL;NDUFS3;PRKACA;PRKACB;PTGS2,21;22;232;376;428;455;468;705;759;897;898;921
hsa04666,Fc gamma R-mediated phagocytosis - Homo sapiens (human),12,AKT1;CRKL;FCGR2A;FCGR2B;FCGR3A;FCGR3B;GSN;MAP2K1;PIK3R1;PLPP3;RAF1;VAV1,37;262;396;397;398;399;472;687;863;877;937;1212
hsa04370,VEGF signaling pathway - Homo sapiens (human),12,AKT1;HRAS;HSPB1;KRAS;MAP2K1;MAP2K2;NOS3;NRAS;PIK3R1;PTGS2;RAF1;VEGFA,37;529;537;638;687;688;781;795;863;921;937;1217
hsa04960,Aldosterone-regulated sodium reabsorption - Homo sapiens (human),12,ATP1B2;HSD11B2;IGF1;INS;INSR;IRS1;KRAS;NEDD4L;PIK3R1;SCNN1A;SCNN1B;SCNN1G,91;531;562;597;599;606;638;761;863;993;994;995
hsa00140,Steroid hormone biosynthesis - Homo sapiens (human),11,AKR1D1;COMT;CYP19A1;CYP1A1;CYP1A2;CYP2E1;CYP3A4;HSD11B2;HSD3B2;RDH5;UGT1A4,36;250;293;294;295;300;302;531;533;946;1196
hsa01240,Biosynthesis of cofactors - Homo sapiens (human),11,ALAD;ALDH2;ALPL;DHFR;GGCX;MAT2A;MTHFD1;NMNAT1;NQO1;RDH12;UGT1A4,38;41;49;318;446;692;731;775;792;945;1196
hsa03083,Polycomb repressive complex - Homo sapiens (human),11,BAP1;BCOR;BMI1;CBX7;EZH2;JARID2;L3MBTL2;L3MBTL3;SCML2;SUZ12;YY1,101;109;116;151;372;614;642;643;991;1087;1241
hsa04713,Circadian entrainment - Homo sapiens (human),11,ADCY2;ADCY5;ADCYAP1R1;GNAS;GNB3;GRIA4;GUCY1A1;NOS1;PRKACA;PRKACB;PRKG1,21;22;23;454;455;468;479;779;897;898;899
hsa03082,ATP-dependent chromatin remodeling - Homo sapiens (human),11,ACTG1;ARID1A;ARID1B;CECR2;MTA1;PBRM1;SMARCA2;SMARCA4;SMARCB1;SMARCE1;YY1,15;73;74;195;730;822;1053;1054;1055;1056;1241
hsa01523,Antifolate resistance - Homo sapiens (human),11,ABCG2;ATIC;DHFR;FOLR1;FOLR2;IL1B;IL6;MTHFR;NFKB1;RELA;TNF,7;86;318;415;416;579;592;732;768;948;1141
hsa04216,Ferroptosis - Homo sapiens (human),11,ALOX15;CP;FTH1;GPX4;HMOX1;PRNP;SLC11A2;SLC40A1;TF;TFRC;TP53,45;254;422;466;522;904;1025;1037;1110;1113;1162
hsa05120,Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human),10,CASP3;CCL5;CXCL8;EGFR;JUN;MET;NFKB1;NFKBIA;PTPN11;RELA,145;159;289;348;616;701;768;770;925;948
hsa05100,Bacterial invasion of epithelial cells - Homo sapiens (human),10,ACTG1;CBL;CRKL;CTNNA2;CTNNA3;CTNNB1;FN1;MET;PIK3R1;VCL,15;149;262;281;282;283;414;701;863;1215
hsa00480,Glutathione metabolism - Homo sapiens (human),10,G6PD;GPX1;GPX4;GSTA4;GSTM1;GSTP1;GSTT1;IDH1;IDH2;RRM1,427;465;466;473;474;475;476;546;547;974
hsa00830,Retinol metabolism - Homo sapiens (human),10,CYP1A1;CYP1A2;CYP26A1;CYP2S1;CYP3A4;LRAT;RDH12;RDH5;RPE65;UGT1A4,294;295;297;301;302;667;945;946;965;1196
hsa04742,Taste transduction - Homo sapiens (human),10,CHRM3;GNB3;GRM4;HCN4;HTR1D;PRKACA;PRKACB;SCNN1A;SCNN1B;SCNN1G,213;455;469;493;538;897;898;993;994;995
hsa04930,Type II diabetes mellitus - Homo sapiens (human),10,ADIPOQ;INS;INSR;IRS1;IRS2;PIK3R1;PKM;SOCS2;SOCS3;TNF,24;597;599;606;607;863;867;1063;1064;1141
hsa04911,Insulin secretion - Homo sapiens (human),10,ADCY2;ADCY5;ADCYAP1R1;ATP1B2;CHRM3;CREB3L1;GNAS;INS;PRKACA;PRKACB,21;22;23;91;213;260;454;597;897;898
hsa05032,Morphine addiction - Homo sapiens (human),10,ADCY2;ADCY5;DRD1;GABRB3;GNAS;GNB3;PDE4B;PDE4D;PRKACA;PRKACB,21;22;331;428;454;455;831;832;897;898
hsa04975,Fat digestion and absorption - Homo sapiens (human),9,ABCA1;ABCG5;ABCG8;APOA1;APOA4;APOB;CD36;PLA2G2A;PLPP3,2;8;9;63;64;66;173;868;877
hsa04720,Long-term potentiation - Homo sapiens (human),9,BRAF;HRAS;KRAS;MAP2K1;MAP2K2;NRAS;PRKACA;PRKACB;RAF1,122;529;638;687;688;795;897;898;937
hsa04727,GABAergic synapse - Homo sapiens (human),9,ADCY2;ADCY5;GABRB3;GAD1;GAD2;GNB3;PRKACA;PRKACB;SLC38A2,21;22;428;429;430;455;897;898;1035
hsa00330,Arginine and proline metabolism - Homo sapiens (human),9,ALDH2;ARG1;ARG2;MAOA;MAOB;NOS1;NOS2;NOS3;P4HA1,41;71;72;684;685;779;780;781;812
hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human),9,ALDH2;ALDH3A1;ENO1;ENO2;FBP1;GAPDH;PCK1;PKM;TPI1,41;42;355;356;392;433;827;867;1164
hsa05017,Spinocerebellar ataxia - Homo sapiens (human),9,AKT1;ERN1;MAP3K5;PIK3R1;PSMA2;PSMA5;PSMD14;RBPJ;XBP1,37;365;689;863;910;911;912;943;1234
hsa04744,Phototransduction - Homo sapiens (human),9,CNGA1;CNGB1;GUCA1B;GUCY2D;PDE6A;PDE6B;PDE6G;RHO;SAG,230;231;477;480;833;834;835;954;984
hsa04215,Apoptosis - multiple species - Homo sapiens (human),9,BBC3;BCL2;BCL2L1;BIRC2;BIRC3;CASP3;CASP7;DIABLO;TNFRSF1A,103;106;107;114;115;145;146;320;1148
hsa04724,Glutamatergic synapse - Homo sapiens (human),9,ADCY2;ADCY5;GNAS;GNB3;GRIA4;GRM4;PRKACA;PRKACB;SLC38A2,21;22;454;455;468;469;897;898;1035
hsa04978,Mineral absorption - Homo sapiens (human),9,ATP1B2;ATP2B1;CLCN2;FTH1;HMOX1;SLC11A2;SLC40A1;TF;VDR,91;92;220;422;522;1025;1037;1110;1216
hsa04961,Endocrine and other factor-regulated calcium reabsorption - Homo sapiens (human),9,ATP1B2;ATP2B1;ESR1;GNAS;KL;PRKACA;PRKACB;PTH;VDR,91;92;366;454;635;897;898;922;1216
hsa02010,ABC transporters - Homo sapiens (human),9,ABCA1;ABCA4;ABCB1;ABCD1;ABCD3;ABCG2;ABCG5;ABCG8;CFTR,2;3;4;5;6;7;8;9;206
hsa00350,Tyrosine metabolism - Homo sapiens (human),8,ALDH3A1;COMT;DBH;DDC;MAOA;MAOB;TH;TPO,42;250;304;307;684;685;1123;1166
hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate - Homo sapiens (human),8,B3GALT6;B3GAT3;B4GALT7;CHST14;CHST3;DSE;XYLT1;XYLT2,95;96;98;214;215;333;1237;1238
hsa00310,Lysine degradation - Homo sapiens (human),8,ALDH2;EHMT1;EZH2;KMT2C;PLOD1;PLOD2;PLOD3;PRDM16,41;350;372;637;874;875;876;893
hsa05340,Primary immunodeficiency - Homo sapiens (human),8,CD19;CD4;CD40;CD40LG;ICOS;IL7R;TNFRSF13B;TNFRSF13C,170;174;175;176;543;595;1144;1145
hsa05412,Arrhythmogenic right ventricular cardiomyopathy - Homo sapiens (human),8,ACTG1;CTNNA2;CTNNA3;CTNNB1;DSP;LAMA2;NOS1;TCF7,15;281;282;283;334;644;779;1105
hsa04962,Vasopressin-regulated water reabsorption - Homo sapiens (human),7,CREB3L1;DCTN4;DYNC2H1;DYNC2LI1;GNAS;PRKACA;PRKACB,260;305;337;340;454;897;898
hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),7,CHKB;DGKE;DGKK;GPD2;PLA2G2A;PLPP3;SGMS2,211;315;316;461;868;877;1009
hsa05110,Vibrio cholerae infection - Homo sapiens (human),7,ACTG1;CFTR;GNAS;KCNQ1;KDELR2;PRKACA;PRKACB,15;206;454;626;628;897;898
hsa04260,Cardiac muscle contraction - Homo sapiens (human),7,ATP1B2;CYC1;SLC9A1;TPM4;UQCRB;UQCRC2;UQCRQ,91;292;1045;1165;1202;1203;1204
hsa00670,One carbon pool by folate - Homo sapiens (human),7,ATIC;BHMT;DHFR;FTCD;MAT2A;MTHFD1;MTHFR,86;113;318;421;692;731;732
hsa00590,Arachidonic acid metabolism - Homo sapiens (human),7,ALOX15;ALOX5;CYP2E1;GPX4;LTA4H;PLA2G2A;PTGS2,45;46;300;466;675;868;921
hsa00561,Glycerolipid metabolism - Homo sapiens (human),7,AKR1B1;ALDH2;DGKE;DGKK;LPL;MGLL;PLPP3,35;41;315;316;666;705;877
hsa00380,Tryptophan metabolism - Homo sapiens (human),7,ALDH2;CAT;CYP1A1;CYP1A2;DDC;MAOA;MAOB,41;147;294;295;307;684;685
hsa04981,Folate transport and metabolism - Homo sapiens (human),7,ABCG2;BHMT;DHFR;FOLR1;FOLR2;MTHFD1;MTHFR,7;113;318;415;416;731;732
hsa04330,Notch signaling pathway - Homo sapiens (human),6,HES1;HEY2;JAG1;JAG2;NOTCH1;RBPJ,500;501;611;612;782;943
hsa00340,Histidine metabolism - Homo sapiens (human),6,ALDH2;ALDH3A1;FTCD;HNMT;MAOA;MAOB,41;42;421;524;684;685
hsa03010,Ribosome - Homo sapiens (human),6,MRPS6;RPL14;RPL21;RPL23A;RPL6;RPS8,724;968;969;970;971;973
hsa03018,RNA degradation - Homo sapiens (human),6,BTG1;ENO1;ENO2;HSPA9;PARN;TOB2,129;355;356;536;818;1159
hsa03250,Viral life cycle - HIV-1 - Homo sapiens (human),6,CD4;CDK9;FURIN;MX1;SAMHD1;SMARCB1,174;190;423;737;986;1055
hsa03440,Homologous recombination - Homo sapiens (human),6,ATM;BARD1;BRCA2;BRIP1;RAD50;RAD51C,87;102;123;127;935;936
hsa04614,Renin-angiotensin system - Homo sapiens (human),5,ACE;ACE2;AGT;AGTR1;REN,11;12;28;29;949
hsa00860,Porphyrin metabolism - Homo sapiens (human),5,ALAD;CP;FTH1;HMOX1;UGT1A4,38;254;422;522;1196
hsa00591,Linoleic acid metabolism - Homo sapiens (human),5,ALOX15;CYP1A2;CYP2E1;CYP3A4;PLA2G2A,45;295;300;302;868
hsa00220,Arginine biosynthesis - Homo sapiens (human),5,ARG1;ARG2;NOS1;NOS2;NOS3,71;72;779;780;781
hsa00410,beta-Alanine metabolism - Homo sapiens (human),5,ALDH2;ALDH3A1;GAD1;GAD2;UPB1,41;42;429;430;1199
hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Homo sapiens (human),5,B3GALT6;B3GAT3;B4GALT7;XYLT1;XYLT2,95;96;98;1237;1238
hsa00100,Steroid biosynthesis - Homo sapiens (human),5,CYP24A1;DHCR24;LIPA;LSS;SOAT2,296;317;658;673;1062
hsa03040,Spliceosome - Homo sapiens (human),5,DHX38;HSPA1A;HSPA1B;SNRPE;U2AF1,319;534;535;1060;1193
hsa04070,Phosphatidylinositol signaling system - Homo sapiens (human),5,DGKE;DGKK;IP6K2;PIK3R1;PTEN,315;316;600;863;919
hsa01232,Nucleotide metabolism - Homo sapiens (human),5,IMPDH1;NT5E;PNP;RRM1;XDH,596;798;882;974;1235
hsa03410,Base excision repair - Homo sapiens (human),5,OGG1;PARP1;PCNA;RFC1;XRCC1,803;819;828;951;1236
hsa04740,Olfactory transduction - Homo sapiens (human),5,CNGB1;GUCY2D;PRKACA;PRKACB;PRKG1,231;480;897;898;899
hsa03272,Virion - Hepatitis viruses - Homo sapiens (human),5,CD81;CLDN11;CLDN18;EGFR;LDLR,183;223;224;348;651
hsa00190,Oxidative phosphorylation - Homo sapiens (human),5,CYC1;NDUFS3;UQCRB;UQCRC2;UQCRQ,292;759;1202;1203;1204
hsa00760,Nicotinate and nicotinamide metabolism - Homo sapiens (human),5,BST1;NMNAT1;NT5E;PNP;SIRT1,128;775;798;882;1015
hsa00020,Citrate cycle (TCA cycle) - Homo sapiens (human),5,IDH1;IDH2;IDH3B;PC;PCK1,546;547;548;824;827
hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series - Homo sapiens (human),4,A4GALT;ABO;B3GNT2;FUT2,1;10;97;424
hsa00562,Inositol phosphate metabolism - Homo sapiens (human),4,IP6K2;PIK3CG;PTEN;TPI1,600;862;919;1164
hsa03050,Proteasome - Homo sapiens (human),4,IFNG;PSMA2;PSMA5;PSMD14,555;910;911;912
hsa04950,Maturity onset diabetes of the young - Homo sapiens (human),4,HES1;HNF1B;INS;PAX6,500;523;597;821
hsa00232,Caffeine metabolism - Homo sapiens (human),4,CYP1A2;NAT1;NAT2;XDH,295;747;748;1235
hsa00030,Pentose phosphate pathway - Homo sapiens (human),4,FBP1;G6PD;PGLS;TALDO1,392;427;855;1093
hsa00620,Pyruvate metabolism - Homo sapiens (human),4,ALDH2;PC;PCK1;PKM,41;824;827;867
hsa04977,Vitamin digestion and absorption - Homo sapiens (human),4,APOA1;APOA4;APOB;LRAT,63;64;66;667
hsa00790,Folate biosynthesis - Homo sapiens (human),4,AKR1B1;ALPL;DHFR;TH,35;49;318;1123
hsa00360,Phenylalanine metabolism - Homo sapiens (human),4,ALDH3A1;DDC;MAOA;MAOB,42;307;684;685
hsa00600,Sphingolipid metabolism - Homo sapiens (human),4,ASAH2;GBA1;PLPP3;SGMS2,78;438;877;1009
hsa03008,Ribosome biogenesis in eukaryotes - Homo sapiens (human),4,DKC1;EFL1;GAR1;WDR36,321;346;434;1228
hsa04964,Proximal tubule bicarbonate reclamation - Homo sapiens (human),4,ATP1B2;CA2;PCK1;SLC4A4,91;135;827;1039
hsa03265,"Virion - Ebolavirus, Lyssavirus and Morbillivirus - Homo sapiens (human)",4,CD209;CD46;FCGR2B;NPC1,172;178;397;784
hsa00565,Ether lipid metabolism - Homo sapiens (human),4,PAFAH1B1;PLA2G2A;PLA2G7;PLPP3,814;868;869;877
hsa00270,Cysteine and methionine metabolism - Homo sapiens (human),4,BHMT;DNMT1;DNMT3A;MAT2A,113;325;326;692
hsa00770,Pantothenate and CoA biosynthesis - Homo sapiens (human),4,ALDH2;UPB1;VNN1;VNN2,41;1199;1221;1222
hsa03030,DNA replication - Homo sapiens (human),3,PCNA;RFC1;RNASEH2B,828;951;957
hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human),3,A4GALT;ABO;FUT2,1;10;424
hsa04721,Synaptic vesicle cycle - Homo sapiens (human),3,SLC18A2;SLC6A3;SLC6A4,1026;1043;1044
hsa00260,"Glycine, serine and threonine metabolism - Homo sapiens (human)",3,BHMT;MAOA;MAOB,113;684;685
hsa01210,2-Oxocarboxylic acid metabolism - Homo sapiens (human),3,IDH1;IDH2;IDH3B,546;547;548
hsa03273,Virion - Lassa virus and SFTS virus - Homo sapiens (human),3,CD209;MYH11;TFRC,172;743;1113
hsa00051,Fructose and mannose metabolism - Homo sapiens (human),3,AKR1B1;FBP1;TPI1,35;392;1164
hsa03266,Virion - Herpesvirus - Homo sapiens (human),3,IGF2R;NECTIN2;TNFRSF14,566;760;1146
hsa00120,Primary bile acid biosynthesis - Homo sapiens (human),3,AKR1D1;CYP27A1;HSD17B4,36;298;532
hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human),3,ALDH2;KL;UGT1A4,41;635;1196
hsa03430,Mismatch repair - Homo sapiens (human),3,PCNA;PMS2;RFC1,828;881;951
hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human),3,AKR1B1;KL;UGT1A4,35;635;1196
hsa03420,Nucleotide excision repair - Homo sapiens (human),3,ERCC6;PCNA;RFC1,363;828;951
hsa00650,Butanoate metabolism - Homo sapiens (human),3,GAD1;GAD2;OXCT1,429;430;806
hsa04973,Carbohydrate digestion and absorption - Homo sapiens (human),3,AKT1;ATP1B2;PIK3R1,37;91;863
hsa04136,Autophagy - other - Homo sapiens (human),3,ATG16L1;ATG4C;PPP2CA,84;85;891
hsa04392,Hippo signaling pathway - multiple species - Homo sapiens (human),3,NF2;RASSF1;YAP1,766;939;1239
hsa03267,Virion - Adenovirus - Homo sapiens (human),3,CD46;CD80;CD86,178;182;184
hsa00240,Pyrimidine metabolism - Homo sapiens (human),3,NT5E;RRM1;UPB1,798;974;1199
hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human),2,GGCX;NQO1,446;792
hsa00250,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)",2,GAD1;GAD2,429;430
hsa00071,Fatty acid degradation - Homo sapiens (human),2,ALDH2;CPT1B,41;255
hsa00280,"Valine, leucine and isoleucine degradation - Homo sapiens (human)",2,ALDH2;OXCT1,41;806
hsa00430,Taurine and hypotaurine metabolism - Homo sapiens (human),2,GAD1;GAD2,429;430
hsa00052,Galactose metabolism - Homo sapiens (human),2,AKR1B1;GALK1,35;432
hsa05033,Nicotine addiction - Homo sapiens (human),2,GABRB3;GRIA4,428;468
hsa04966,Collecting duct acid secretion - Homo sapiens (human),2,CA2;SLC4A1,135;1038
hsa03260,Virion - Human immunodeficiency virus - Homo sapiens (human),2,CD209;CD4,172;174
hsa03450,Non-homologous end-joining - Homo sapiens (human),2,LIG4;RAD50,655;935
hsa01212,Fatty acid metabolism - Homo sapiens (human),2,CPT1B;HSD17B4,255;532
hsa03015,mRNA surveillance pathway - Homo sapiens (human),2,PPP2CA;TARDBP,891;1095
hsa04130,SNARE interactions in vesicular transport - Homo sapiens (human),2,VAMP5;VAMP8,1208;1209
