DiseaseName_norm,DrugBankID,Source
idiopathicpulmonaryfibrosis,DB06202,gene_target
idiopathicpulmonaryfibrosis,DB06249,gene_target
idiopathicpulmonaryfibrosis,DB06374,gene_target
idiopathicpulmonaryfibrosis,DB06401,gene_target
idiopathicpulmonaryfibrosis,DB09070,gene_target
idiopathicpulmonaryfibrosis,DB11619,gene_target
idiopathicpulmonaryfibrosis,DB12235,gene_target
idiopathicpulmonaryfibrosis,DB13952,gene_target
idiopathicpulmonaryfibrosis,DB13953,gene_target
idiopathicpulmonaryfibrosis,DB13954,gene_target
idiopathicpulmonaryfibrosis,DB13955,gene_target
idiopathicpulmonaryfibrosis,DB13956,gene_target
idiopathicpulmonaryfibrosis,DB13981,gene_target
neuroblastoma,DB00255,gene_target
neuroblastoma,DB00304,gene_target
neuroblastoma,DB00367,gene_target
neuroblastoma,DB00481,gene_target
neuroblastoma,DB00539,gene_target
neuroblastoma,DB00603,gene_target
neuroblastoma,DB00648,gene_target
neuroblastoma,DB00655,gene_target
neuroblastoma,DB00675,gene_target
neuroblastoma,DB00783,gene_target
neuroblastoma,DB00823,gene_target
neuroblastoma,DB00882,gene_target
neuroblastoma,DB00890,gene_target
neuroblastoma,DB00947,gene_target
neuroblastoma,DB00957,gene_target
neuroblastoma,DB00977,gene_target
neuroblastoma,DB01108,gene_target
neuroblastoma,DB01185,gene_target
neuroblastoma,DB01196,gene_target
neuroblastoma,DB01357,gene_target
neuroblastoma,DB01406,gene_target
neuroblastoma,DB04573,gene_target
neuroblastoma,DB04574,gene_target
neuroblastoma,DB04575,gene_target
neuroblastoma,DB04813,gene_target
neuroblastoma,DB04938,gene_target
neuroblastoma,DB06202,gene_target
neuroblastoma,DB06249,gene_target
neuroblastoma,DB06374,gene_target
neuroblastoma,DB06401,gene_target
neuroblastoma,DB09070,gene_target
neuroblastoma,DB11619,gene_target
neuroblastoma,DB12235,gene_target
neuroblastoma,DB13952,gene_target
neuroblastoma,DB13953,gene_target
neuroblastoma,DB13954,gene_target
neuroblastoma,DB13955,gene_target
neuroblastoma,DB13956,gene_target
neuroblastoma,DB13981,gene_target
medulloblastoma,DB00255,gene_target
medulloblastoma,DB00481,gene_target
