drug,similar_drug,similarity,drug_name,similar_name
DB00361,DB11641,0.766,Vinorelbine,Vinflunine
DB11641,DB00361,0.766,Vinflunine,Vinorelbine
DB00367,DB00717,0.717,Levonorgestrel,Norethisterone
DB00717,DB00367,0.717,Norethisterone,Levonorgestrel
DB00367,DB06713,0.745,Levonorgestrel,Norelgestromin
DB06713,DB00367,0.745,Norelgestromin,Levonorgestrel
DB00367,DB09389,1.0,Levonorgestrel,Norgestrel
DB09389,DB00367,1.0,Norgestrel,Levonorgestrel
DB00371,DB00395,0.697,Meprobamate,Carisoprodol
DB00395,DB00371,0.697,Carisoprodol,Meprobamate
DB00372,DB00433,0.72,Thiethylperazine,Prochlorperazine
DB00433,DB00372,0.72,Prochlorperazine,Thiethylperazine
DB00372,DB00831,0.648,Thiethylperazine,Trifluoperazine
DB00831,DB00372,0.648,Trifluoperazine,Thiethylperazine
DB00372,DB12710,0.711,Thiethylperazine,Perazine
DB12710,DB00372,0.711,Perazine,Thiethylperazine
DB00376,DB00387,1.0,Trihexyphenidyl,Procyclidine
DB00387,DB00376,1.0,Procyclidine,Trihexyphenidyl
DB00376,DB00810,0.609,Trihexyphenidyl,Biperiden
DB00810,DB00376,0.609,Biperiden,Trihexyphenidyl
DB00376,DB00942,1.0,Trihexyphenidyl,Cycrimine
DB00942,DB00376,1.0,Cycrimine,Trihexyphenidyl
DB00381,DB01023,0.614,Amlodipine,Felodipine
DB01023,DB00381,0.614,Felodipine,Amlodipine
DB00381,DB09237,1.0,Amlodipine,Levamlodipine
DB09237,DB00381,1.0,Levamlodipine,Amlodipine
DB00385,DB00445,0.616,Valrubicin,Epirubicin
DB00445,DB00385,0.616,Epirubicin,Valrubicin
DB00385,DB00997,0.616,Valrubicin,Doxorubicin
DB00997,DB00385,0.616,Doxorubicin,Valrubicin
DB00387,DB00810,0.609,Procyclidine,Biperiden
DB00810,DB00387,0.609,Biperiden,Procyclidine
DB00387,DB00942,1.0,Procyclidine,Cycrimine
DB00942,DB00387,1.0,Cycrimine,Procyclidine
DB00388,DB00668,0.606,Phenylephrine,Epinephrine
DB00668,DB00388,0.606,Epinephrine,Phenylephrine
DB00390,DB00511,0.694,Digoxin,Acetyldigitoxin
DB00511,DB00390,0.694,Acetyldigitoxin,Digoxin
DB00390,DB01078,0.802,Digoxin,Deslanoside
DB01078,DB00390,0.802,Deslanoside,Digoxin
DB00390,DB01396,0.813,Digoxin,Digitoxin
DB01396,DB00390,0.813,Digitoxin,Digoxin
DB00391,DB00409,0.607,Sulpiride,Remoxipride
DB00409,DB00391,0.607,Remoxipride,Sulpiride
DB00391,DB06288,0.656,Sulpiride,Amisulpride
DB06288,DB00391,0.656,Amisulpride,Sulpiride
DB00392,DB01069,0.714,Profenamine,Promethazine
DB01069,DB00392,0.714,Promethazine,Profenamine
DB00393,DB00622,0.612,Nimodipine,Nicardipine
DB00622,DB00393,0.612,Nicardipine,Nimodipine
DB00393,DB01054,0.696,Nimodipine,Nitrendipine
DB01054,DB00393,0.696,Nitrendipine,Nimodipine
DB00393,DB06712,0.661,Nimodipine,Nilvadipine
DB06712,DB00393,0.661,Nilvadipine,Nimodipine
DB00394,DB01013,0.689,Beclomethasone dipropionate,Clobetasol propionate
DB01013,DB00394,0.689,Clobetasol propionate,Beclomethasone dipropionate
DB00394,DB14512,0.637,Beclomethasone dipropionate,Mometasone furoate
DB14512,DB00394,0.637,Mometasone furoate,Beclomethasone dipropionate
DB00396,DB00624,0.723,Progesterone,Testosterone
DB00624,DB00396,0.723,Testosterone,Progesterone
DB00396,DB01420,0.636,Progesterone,Testosterone propionate
DB01420,DB00396,0.636,Testosterone propionate,Progesterone
DB00396,DB06710,0.6,Progesterone,Methyltestosterone
DB06710,DB00396,0.6,Methyltestosterone,Progesterone
DB00398,DB08896,0.831,Sorafenib,Regorafenib
DB08896,DB00398,0.831,Regorafenib,Sorafenib
DB00401,DB01115,0.787,Nisoldipine,Nifedipine
DB01115,DB00401,0.787,Nifedipine,Nisoldipine
DB00402,DB01198,1.0,Eszopiclone,Zopiclone
DB01198,DB00402,1.0,Zopiclone,Eszopiclone
DB00404,DB00897,0.766,Alprazolam,Triazolam
DB00897,DB00404,0.766,Triazolam,Alprazolam
DB00404,DB01215,0.62,Alprazolam,Estazolam
DB01215,DB00404,0.62,Estazolam,Alprazolam
DB00405,DB00835,1.0,Dexbrompheniramine,Brompheniramine
DB00835,DB00405,1.0,Brompheniramine,Dexbrompheniramine
DB00405,DB01114,0.75,Dexbrompheniramine,Chlorpheniramine
DB01114,DB00405,0.75,Chlorpheniramine,Dexbrompheniramine
DB00405,DB01620,0.806,Dexbrompheniramine,Pheniramine
DB01620,DB00405,0.806,Pheniramine,Dexbrompheniramine
DB00405,DB09555,0.625,Dexbrompheniramine,Dexchlorpheniramine maleate
DB09555,DB00405,0.625,Dexchlorpheniramine maleate,Dexbrompheniramine
DB00408,DB00543,0.739,Loxapine,Amoxapine
DB00543,DB00408,0.739,Amoxapine,Loxapine
DB00416,DB01199,0.615,Metocurine iodide,Tubocurarine
DB01199,DB00416,0.615,Tubocurarine,Metocurine iodide
DB00416,DB01336,0.982,Metocurine iodide,Metocurine
DB01336,DB00416,0.982,Metocurine,Metocurine iodide
DB00418,DB01154,0.794,Secobarbital,Thiamylal
DB01154,DB00418,0.794,Thiamylal,Secobarbital
DB00419,DB00491,0.677,Miglustat,Miglitol
DB00491,DB00419,0.677,Miglitol,Miglustat
DB00420,DB00458,0.611,Promazine,Imipramine
DB00458,DB00420,0.611,Imipramine,Promazine
DB00420,DB00477,0.763,Promazine,Chlorpromazine
DB00477,DB00420,0.763,Chlorpromazine,Promazine
DB00420,DB00508,0.707,Promazine,Triflupromazine
DB00508,DB00420,0.707,Triflupromazine,Promazine
DB00422,DB06701,1.0,Methylphenidate,Dexmethylphenidate
DB06701,DB00422,1.0,Dexmethylphenidate,Methylphenidate
DB00424,DB00572,1.0,Hyoscyamine,Atropine
DB00572,DB00424,1.0,Atropine,Hyoscyamine
DB00424,DB00747,0.681,Hyoscyamine,Scopolamine
DB00747,DB00424,0.681,Scopolamine,Hyoscyamine
DB00424,DB11181,0.698,Hyoscyamine,Homatropine
DB11181,DB00424,0.698,Homatropine,Hyoscyamine
DB00424,DB11315,0.6,Hyoscyamine,Methscopolamine
DB11315,DB00424,0.6,Methscopolamine,Hyoscyamine
DB00429,DB01160,0.703,Carboprost tromethamine,Dinoprost tromethamine
DB01160,DB00429,0.703,Dinoprost tromethamine,Carboprost tromethamine
DB00432,DB03312,0.623,Trifluridine,Brivudine
DB03312,DB00432,0.623,Brivudine,Trifluridine
DB00432,DB13421,0.673,Trifluridine,Edoxudine
DB13421,DB00432,0.673,Edoxudine,Trifluridine
DB00433,DB00477,0.646,Prochlorperazine,Chlorpromazine
DB00477,DB00433,0.646,Chlorpromazine,Prochlorperazine
DB00433,DB00831,0.7,Prochlorperazine,Trifluoperazine
DB00831,DB00433,0.7,Trifluoperazine,Prochlorperazine
DB00433,DB00850,0.804,Prochlorperazine,Perphenazine
DB00850,DB00433,0.804,Perphenazine,Prochlorperazine
DB00433,DB12710,0.78,Prochlorperazine,Perazine
DB12710,DB00433,0.78,Perazine,Prochlorperazine
DB00441,DB00987,0.604,Gemcitabine,Cytarabine
DB00987,DB00441,0.604,Cytarabine,Gemcitabine
DB00443,DB00547,0.621,Betamethasone,Desoximetasone
DB00547,DB00443,0.621,Desoximetasone,Betamethasone
DB00443,DB00596,0.603,Betamethasone,Ulobetasol
DB00596,DB00443,0.603,Ulobetasol,Betamethasone
DB00443,DB00620,0.86,Betamethasone,Triamcinolone
DB00620,DB00443,0.86,Triamcinolone,Betamethasone
DB00443,DB00663,0.714,Betamethasone,Flumethasone
DB00663,DB00443,0.714,Flumethasone,Betamethasone
DB00443,DB01013,0.634,Betamethasone,Clobetasol propionate
DB01013,DB00443,0.634,Clobetasol propionate,Betamethasone
DB00443,DB01234,1.0,Betamethasone,Dexamethasone
DB01234,DB00443,1.0,Dexamethasone,Betamethasone
DB00443,DB11750,0.847,Betamethasone,Clobetasol
DB11750,DB00443,0.847,Clobetasol,Betamethasone
DB00443,DB13158,0.636,Betamethasone,Clobetasone
DB13158,DB00443,0.636,Clobetasone,Betamethasone
DB00443,DB14649,0.794,Betamethasone,Dexamethasone acetate
DB14649,DB00443,0.794,Dexamethasone acetate,Betamethasone
DB00443,DB14669,0.769,Betamethasone,Betamethasone phosphate
DB14669,DB00443,0.769,Betamethasone phosphate,Betamethasone
DB00444,DB00773,0.753,Teniposide,Etoposide
DB00773,DB00444,0.753,Etoposide,Teniposide
DB00445,DB00694,0.853,Epirubicin,Daunorubicin
DB00694,DB00445,0.853,Daunorubicin,Epirubicin
DB00445,DB00997,1.0,Epirubicin,Doxorubicin
DB00997,DB00445,1.0,Doxorubicin,Epirubicin
DB00445,DB01177,0.701,Epirubicin,Idarubicin
DB01177,DB00445,0.701,Idarubicin,Epirubicin
DB00448,DB01129,0.719,Lansoprazole,Rabeprazole
DB01129,DB00448,0.719,Rabeprazole,Lansoprazole
DB00448,DB05351,1.0,Lansoprazole,Dexlansoprazole
DB05351,DB00448,1.0,Dexlansoprazole,Lansoprazole
DB00451,DB00509,1.0,Levothyroxine,Dextrothyroxine
DB00509,DB00451,1.0,Dextrothyroxine,Levothyroxine
DB00451,DB01583,0.653,Levothyroxine,Liotrix
DB01583,DB00451,0.653,Liotrix,Levothyroxine
DB00454,DB00913,0.646,Meperidine,Anileridine
DB00913,DB00454,0.646,Anileridine,Meperidine
DB00454,DB01081,0.608,Meperidine,Diphenoxylate
DB01081,DB00454,0.608,Diphenoxylate,Meperidine
DB00458,DB01151,0.611,Imipramine,Desipramine
DB01151,DB00458,0.611,Desipramine,Imipramine
DB00458,DB01242,0.763,Imipramine,Clomipramine
DB01242,DB00458,0.763,Clomipramine,Imipramine
DB00462,DB00747,0.68,Methscopolamine bromide,Scopolamine
DB00747,DB00462,0.68,Scopolamine,Methscopolamine bromide
DB00462,DB09300,0.736,Methscopolamine bromide,Butylscopolamine
DB09300,DB00462,0.736,Butylscopolamine,Methscopolamine bromide
DB00462,DB11315,0.977,Methscopolamine bromide,Methscopolamine
DB11315,DB00462,0.977,Methscopolamine,Methscopolamine bromide
DB00464,DB11328,0.718,Sodium tetradecyl sulfate,Tetradecyl hydrogen sulfate (ester)
DB11328,DB00464,0.718,Tetradecyl hydrogen sulfate (ester),Sodium tetradecyl sulfate
DB00469,DB00554,0.692,Tenoxicam,Piroxicam
DB00554,DB00469,0.692,Piroxicam,Tenoxicam
DB00469,DB06725,0.696,Tenoxicam,Lornoxicam
DB06725,DB00469,0.696,Lornoxicam,Tenoxicam
DB00477,DB00508,0.681,Chlorpromazine,Triflupromazine
DB00508,DB00477,0.681,Triflupromazine,Chlorpromazine
DB00477,DB00850,0.6,Chlorpromazine,Perphenazine
DB00850,DB00477,0.6,Perphenazine,Chlorpromazine
DB00477,DB01242,0.617,Chlorpromazine,Clomipramine
DB01242,DB00477,0.617,Clomipramine,Chlorpromazine
DB00480,DB08910,0.617,Lenalidomide,Pomalidomide
DB08910,DB00480,0.617,Pomalidomide,Lenalidomide
DB00481,DB06249,0.651,Raloxifene,Arzoxifene
DB06249,DB00481,0.651,Arzoxifene,Raloxifene
DB00490,DB12184,0.733,Buspirone,Gepirone
DB12184,DB00490,0.733,Gepirone,Buspirone
DB00497,DB01192,0.768,Oxycodone,Oxymorphone
DB01192,DB00497,0.768,Oxymorphone,Oxycodone
DB00498,DB01125,0.607,Phenindione,Anisindione
